r_start [cm] , z_start [cm] , r_end [cm] , t_end [us] , E_start [V/cm], Er_start [V/cm] , Ez_start [V/cm]
1.5,27,1.4946,144,181.45,0.77337,-181.45
1.5,28,1.4955,137,182.5,0.7946,-182.49
1.5,29,1.4928,131,183.57,0.81619,-183.57
1.5,30,1.4966,124,184.67,0.83802,-184.67
1.5,31,1.4939,117,185.8,0.85852,-185.8
1.5,32,1.494,111,186.96,0.87685,-186.96
1.5,33,1.4956,104,188.14,0.89244,-188.14
1.5,34,1.4936,97,189.34,0.90359,-189.34
1.5,35,1.4962,91,190.56,0.90954,-190.55
1.5,36,1.4941,84,191.77,0.90854,-191.77
1.5,37,1.4954,78,192.98,0.89938,-192.98
1.5,38,1.4944,71,194.17,0.88062,-194.17
1.5,39,1.4948,65,195.33,0.85125,-195.33
1.5,40,1.4946,58,196.45,0.80915,-196.44
1.5,41,1.4947,52,197.5,0.75599,-197.5
1.5,42,1.4944,45,198.47,0.68714,-198.46
1.5,43,1.4947,38,199.33,0.60091,-199.33
1.5,44,1.4942,32,200.08,0.49549,-200.08
1.5,45,1.4947,25,200.67,0.34902,-200.67
1.5,46,1.4941,19,201.09,0.10396,-201.09
1.5,47,1.4947,12,201.37,-0.44052,-201.37
1.5,48,1.4945,6,205.65,-0.47462,-205.65
1.5,49,1.4999,1,2970.4,0.71023,-2970.4
2.5,0,NaN,NaN,919.78,23.507,919.48
2.5,1,2.4879,320,162.32,-0.015649,-162.32
2.5,2,2.4989,313,162.59,0.1293,-162.59
2.5,3,2.4875,307,162.86,0.29616,-162.86
2.5,4,2.4882,300,163.19,0.43275,-163.19
2.5,5,2.4964,292,163.6,0.54512,-163.6
2.5,6,2.496,286,164.09,0.6398,-164.09
2.5,7,2.4992,279,164.64,0.72038,-164.64
2.5,8,2.4997,272,165.25,0.78939,-165.25
2.5,9,2.4857,265,165.92,0.84731,-165.91
2.5,10,2.4967,258,166.62,0.89557,-166.62
2.5,11,2.4976,252,167.36,0.93512,-167.35
2.5,12,2.495,245,168.12,0.96699,-168.12
2.5,13,2.4871,238,168.91,0.99276,-168.91
2.5,14,2.496,231,169.72,1.0137,-169.71
2.5,15,2.4956,224,170.54,1.0311,-170.53
2.5,16,2.4913,218,171.37,1.046,-171.37
2.5,17,2.4909,211,172.21,1.0597,-172.21
2.5,18,2.4965,204,173.06,1.0733,-173.06
2.5,19,2.4946,197,173.93,1.0875,-173.92
2.5,20,2.4883,191,174.8,1.1034,-174.8
2.5,21,2.4967,184,175.69,1.1215,-175.69
2.5,22,2.4965,177,176.6,1.1419,-176.59
2.5,23,2.4892,171,177.52,1.1655,-177.51
2.5,24,2.4967,164,178.46,1.1918,-178.45
2.5,25,2.4972,157,179.42,1.2215,-179.42
2.5,26,2.4905,151,180.41,1.2534,-180.41
2.5,27,2.497,144,181.42,1.2881,-181.42
2.5,28,2.4964,137,182.47,1.3244,-182.46
2.5,29,2.4918,131,183.54,1.3609,-183.54
2.5,30,2.4992,124,184.65,1.3973,-184.64
2.5,31,2.4951,117,185.78,1.4324,-185.78
2.5,32,2.4944,111,186.94,1.4642,-186.94
2.5,33,2.4984,104,188.13,1.4909,-188.12
2.5,34,2.4941,98,189.34,1.5107,-189.33
2.5,35,2.4992,91,190.56,1.5214,-190.55
2.5,36,2.4957,84,191.78,1.521,-191.78
2.5,37,2.4971,78,193,1.5072,-193
2.5,38,2.4969,71,194.21,1.4766,-194.2
2.5,39,2.496,65,195.38,1.4288,-195.38
2.5,40,2.4976,58,196.51,1.361,-196.51
2.5,41,2.4962,52,197.58,1.2713,-197.57
2.5,42,2.4974,45,198.57,1.1587,-198.57
2.5,43,2.4965,38,199.46,1.0207,-199.46
2.5,44,2.497,32,200.23,0.85338,-200.23
2.5,45,2.4966,25,200.88,0.65038,-200.88
2.5,46,2.4966,19,201.4,0.39569,-201.4
2.5,47,2.4967,12,201.84,0.099803,-201.84
2.5,48,2.4965,6,205.44,0.31524,-205.44
2.5,49,2.4999,1,2970.4,0.9788,-2970.4
3.5,0,NaN,NaN,919.65,16.866,919.49
3.5,1,2.9957,318,162.21,0.15371,-162.21
3.5,2,2.9954,311,162.42,0.30594,-162.42
3.5,3,3.003,305,162.7,0.47528,-162.7
3.5,4,3.0012,298,163.05,0.63695,-163.05
3.5,5,2.9944,291,163.48,0.78222,-163.48
3.5,6,2.9995,284,163.98,0.91007,-163.98
3.5,7,3.0052,278,164.55,1.0214,-164.55
3.5,8,2.9962,271,165.18,1.1165,-165.18
3.5,9,2.9979,264,165.85,1.197,-165.85
3.5,10,3.0058,258,166.57,1.2631,-166.56
3.5,11,2.9969,251,167.32,1.3172,-167.31
3.5,12,2.9991,244,168.09,1.3602,-168.09
3.5,13,3.0062,238,168.89,1.3953,-168.88
3.5,14,2.9972,231,169.7,1.4231,-169.69
3.5,15,2.9948,225,170.52,1.446,-170.51
3.5,16,2.9998,218,171.36,1.4657,-171.35
3.5,17,2.9938,212,172.2,1.4838,-172.19
3.5,18,3.0005,205,173.05,1.5017,-173.05
3.5,19,3.0052,200,173.91,1.521,-173.91
3.5,20,3.4916,193,174.79,1.5425,-174.78
3.5,21,3.5,185,175.67,1.5674,-175.67
3.5,22,3.4963,178,176.57,1.5958,-176.57
3.5,23,3.4975,172,177.49,1.6284,-177.48
3.5,24,3.4973,165,178.43,1.6656,-178.42
3.5,25,3.4901,158,179.39,1.7071,-179.38
3.5,26,3.4959,151,180.37,1.7527,-180.36
3.5,27,3.4972,144,181.39,1.8015,-181.38
3.5,28,3.4914,138,182.43,1.8531,-182.42
3.5,29,3.4952,131,183.5,1.9057,-183.49
3.5,30,3.5001,124,184.61,1.9582,-184.6
3.5,31,3.4915,118,185.75,2.0085,-185.73
3.5,32,3.4969,111,186.91,2.0548,-186.9
3.5,33,3.4984,104,188.11,2.0943,-188.09
3.5,34,3.4929,98,189.32,2.1245,-189.31
3.5,35,3.5005,91,190.55,2.1421,-190.54
3.5,36,3.4959,84,191.79,2.1437,-191.78
3.5,37,3.4977,78,193.03,2.1263,-193.02
3.5,38,3.4979,71,194.26,2.0865,-194.25
3.5,39,3.4962,65,195.46,2.0213,-195.45
3.5,40,3.4992,58,196.61,1.9281,-196.6
3.5,41,3.4967,52,197.7,1.8042,-197.7
3.5,42,3.4992,45,198.72,1.6484,-198.71
3.5,43,3.4972,38,199.64,1.4601,-199.63
3.5,44,3.4986,32,200.45,1.236,-200.44
3.5,45,3.4975,25,201.13,0.97967,-201.13
3.5,46,3.498,19,201.68,0.69476,-201.68
3.5,47,3.4976,12,202.1,0.40502,-202.1
3.5,48,3.4977,6,205.51,0.4382,-205.51
3.5,49,3.4999,1,2970.5,0.76556,-2970.5
4.5,0,NaN,NaN,919.71,13.15,919.62
4.5,1,3.9979,318,162.05,0.24279,-162.05
4.5,2,3.9957,311,162.24,0.44701,-162.24
4.5,3,3.9977,304,162.52,0.65322,-162.51
4.5,4,3.9988,298,162.88,0.8503,-162.88
4.5,5,3.9969,291,163.33,1.0314,-163.33
4.5,6,3.9957,284,163.85,1.1934,-163.85
4.5,7,3.9986,277,164.44,1.334,-164.43
4.5,8,3.9995,271,165.08,1.4553,-165.08
4.5,9,3.9949,264,165.77,1.5558,-165.77
4.5,10,3.9978,257,166.51,1.6397,-166.5
4.5,11,4.0009,251,167.27,1.707,-167.26
4.5,12,3.9969,244,168.05,1.7604,-168.04
4.5,13,3.9966,237,168.86,1.8027,-168.85
4.5,14,4.0023,231,169.67,1.8362,-169.66
4.5,15,3.9983,224,170.5,1.8632,-170.49
4.5,16,3.9967,217,171.34,1.8865,-171.33
4.5,17,4.0053,211,172.18,1.9079,-172.17
4.5,18,3.9968,204,173.04,1.9293,-173.02
4.5,19,3.9995,197,173.9,1.9526,-173.88
4.5,20,4.0046,191,174.77,1.979,-174.75
4.5,21,3.9984,184,175.65,2.0102,-175.64
4.5,22,4.0043,178,176.54,2.046,-176.53
4.5,23,3.9978,171,177.46,2.0882,-177.44
4.5,24,3.9948,165,178.39,2.1359,-178.37
4.5,25,3.9982,159,179.34,2.1897,-179.33
4.5,26,3.9959,154,180.32,2.249,-180.31
4.5,27,4.4988,145,181.33,2.3131,-181.32
4.5,28,4.4981,139,182.37,2.3804,-182.36
4.5,29,4.4987,132,183.45,2.4502,-183.43
4.5,30,4.4937,125,184.56,2.5201,-184.54
4.5,31,4.4916,118,185.7,2.5881,-185.68
4.5,32,4.4982,111,186.87,2.6507,-186.85
4.5,33,4.4951,104,188.07,2.705,-188.05
4.5,34,4.4923,98,189.3,2.7475,-189.28
4.5,35,4.5016,91,190.55,2.7745,-190.53
4.5,36,4.4942,84,191.81,2.7806,-191.79
4.5,37,4.4978,78,193.07,2.7625,-193.05
4.5,38,4.498,71,194.32,2.7153,-194.3
4.5,39,4.4958,65,195.55,2.6345,-195.53
4.5,40,4.5,58,196.74,2.5186,-196.72
4.5,41,4.4967,52,197.87,2.3616,-197.85
4.5,42,4.5002,45,198.92,2.1629,-198.91
4.5,43,4.4975,38,199.88,1.923,-199.87
4.5,44,4.4994,32,200.72,1.6419,-200.71
4.5,45,4.4979,25,201.43,1.3246,-201.43
4.5,46,4.4986,19,202,0.9777,-202
4.5,47,4.4981,12,202.42,0.61874,-202.42
4.5,48,4.4982,6,205.82,0.45781,-205.81
4.5,49,4.4999,1,2970.4,0.69889,-2970.4
5.5,0,NaN,NaN,919.62,10.72,919.56
5.5,1,4.9978,318,161.81,0.31579,-161.81
5.5,2,5.0015,311,162,0.57853,-162
5.5,3,4.9979,304,162.29,0.83342,-162.29
5.5,4,4.9965,298,162.67,1.0736,-162.67
5.5,5,4.9996,291,163.14,1.2938,-163.14
5.5,6,5.0003,284,163.69,1.4908,-163.68
5.5,7,4.9977,277,164.3,1.6623,-164.29
5.5,8,4.9979,271,164.96,1.8083,-164.95
5.5,9,5,264,165.68,1.9295,-165.67
5.5,10,4.9985,257,166.43,2.0285,-166.41
5.5,11,4.9983,250,167.21,2.1073,-167.19
5.5,12,4.9985,244,168.01,2.1688,-167.99
5.5,13,4.9975,237,168.82,2.2168,-168.81
5.5,14,4.9987,230,169.65,2.2539,-169.63
5.5,15,4.9989,224,170.48,2.2835,-170.47
5.5,16,4.9958,217,171.32,2.3085,-171.31
5.5,17,4.9991,210,172.17,2.3317,-172.15
5.5,18,5.0006,204,173.02,2.3555,-173
5.5,19,4.995,197,173.87,2.3818,-173.86
5.5,20,5.0003,190,174.74,2.4125,-174.72
5.5,21,5.0018,184,175.62,2.4491,-175.6
5.5,22,4.9956,177,176.51,2.4924,-176.49
5.5,23,5.0053,171,177.41,2.5437,-177.39
5.5,24,4.9971,164,178.34,2.6018,-178.32
5.5,25,5.0015,157,179.29,2.6679,-179.27
5.5,26,5.0004,151,180.26,2.7415,-180.24
5.5,27,5.0002,145,181.27,2.8213,-181.25
5.5,28,5.0019,138,182.3,2.9064,-182.28
5.5,29,4.9961,132,183.38,2.9946,-183.35
5.5,30,4.9995,126,184.49,3.0836,-184.46
5.5,31,5.501,119,185.63,3.1709,-185.6
5.5,32,5.5006,112,186.81,3.2525,-186.78
5.5,33,5.4899,105,188.02,3.3247,-187.99
5.5,34,5.4979,98,189.27,3.3823,-189.24
5.5,35,5.4986,91,190.54,3.4224,-190.51
5.5,36,5.4911,85,191.82,3.4364,-191.79
5.5,37,5.4996,78,193.11,3.4203,-193.08
5.5,38,5.4977,71,194.4,3.3691,-194.37
5.5,39,5.4952,65,195.67,3.2768,-195.64
5.5,40,5.5005,58,196.9,3.1378,-196.87
5.5,41,5.4964,52,198.07,2.9498,-198.05
5.5,42,5.501,45,199.17,2.7099,-199.15
5.5,43,5.4976,38,200.17,2.4156,-200.16
5.5,44,5.5002,32,201.06,2.0731,-201.05
5.5,45,5.4982,25,201.81,1.6846,-201.8
5.5,46,5.4991,19,202.4,1.2599,-202.4
5.5,47,5.4984,12,202.83,0.80992,-202.82
5.5,48,5.4986,6,206.11,0.5222,-206.11
5.5,49,5.5,1,2970.5,0.50262,-2970.5
6.5,0,NaN,NaN,919.82,9.1059,919.78
6.5,1,5.998,318,161.51,0.38813,-161.51
6.5,2,5.9947,311,161.72,0.71234,-161.71
6.5,3,5.99,305,162.02,1.0222,-162.01
6.5,4,5.9978,298,162.42,1.3114,-162.42
6.5,5,6.0003,291,162.91,1.5746,-162.91
6.5,6,5.9965,284,163.49,1.8076,-163.48
6.5,7,5.9914,278,164.13,2.0096,-164.12
6.5,8,5.9966,271,164.82,2.1798,-164.81
6.5,9,6.0016,264,165.56,2.3196,-165.55
6.5,10,5.9978,257,166.34,2.4323,-166.32
6.5,11,5.9952,251,167.14,2.5204,-167.12
6.5,12,5.9992,244,167.96,2.5879,-167.94
6.5,13,6.0005,237,168.78,2.6389,-168.76
6.5,14,5.9975,230,169.62,2.6772,-169.6
6.5,15,5.9982,224,170.46,2.707,-170.44
6.5,16,6.0001,217,171.3,2.7319,-171.28
6.5,17,5.9984,210,172.15,2.755,-172.13
6.5,18,5.9986,204,173,2.7794,-172.98
6.5,19,5.9975,197,173.85,2.8075,-173.83
6.5,20,5.9986,190,174.71,2.8415,-174.69
6.5,21,5.9996,184,175.58,2.8826,-175.56
6.5,22,5.9955,177,176.46,2.9328,-176.44
6.5,23,5.9995,170,177.36,2.9921,-177.33
6.5,24,6.0011,164,178.28,3.0616,-178.25
6.5,25,5.996,157,179.22,3.1405,-179.19
6.5,26,6.0038,151,180.19,3.2293,-180.16
6.5,27,5.9967,144,181.18,3.3262,-181.15
6.5,28,6.0023,137,182.22,3.43,-182.18
6.5,29,5.9994,131,183.29,3.5385,-183.25
6.5,30,6.002,124,184.4,3.649,-184.36
6.5,31,5.9984,118,185.54,3.7577,-185.51
6.5,32,5.996,112,186.73,3.8612,-186.69
6.5,33,6.5018,106,187.96,3.9546,-187.92
6.5,34,6.5018,99,189.22,4.0314,-189.18
6.5,35,6.4942,92,190.51,4.0877,-190.47
6.5,36,6.4916,85,191.83,4.1146,-191.79
6.5,37,6.5,78,193.16,4.1056,-193.12
6.5,38,6.4958,71,194.49,4.0538,-194.45
6.5,39,6.4943,65,195.8,3.9519,-195.76
6.5,40,6.5006,58,197.09,3.7963,-197.05
6.5,41,6.4959,52,198.32,3.5777,-198.28
6.5,42,6.5017,45,199.47,3.295,-199.44
6.5,43,6.4975,38,200.53,2.9478,-200.51
6.5,44,6.5007,32,201.47,2.5378,-201.45
6.5,45,6.4983,25,202.26,2.0712,-202.25
6.5,46,6.4995,19,202.89,1.556,-202.88
6.5,47,6.4986,12,203.34,1.0047,-203.34
6.5,48,6.4989,6,206.74,0.55811,-206.74
6.5,49,6.5,1,2970.8,0.44285,-2970.8
7.5,0,NaN,NaN,920.09,7.6921,920.06
7.5,1,6.5006,319,161.15,0.46782,-161.15
7.5,2,6.5068,312,161.37,0.85613,-161.36
7.5,3,6.4988,305,161.69,1.2263,-161.69
7.5,4,6.4964,299,162.12,1.5687,-162.11
7.5,5,6.5055,292,162.65,1.8782,-162.64
7.5,6,6.4989,286,163.26,2.149,-163.24
7.5,7,6.4977,281,163.93,2.38,-163.92
7.5,8,6.9991,272,164.67,2.5746,-164.65
7.5,9,6.9862,265,165.44,2.7317,-165.42
7.5,10,6.996,258,166.24,2.855,-166.22
7.5,11,6.9987,251,167.07,2.9491,-167.04
7.5,12,6.9986,244,167.9,3.0193,-167.88
7.5,13,6.9953,237,168.75,3.0701,-168.72
7.5,14,6.9914,231,169.59,3.1068,-169.57
7.5,15,6.9977,224,170.44,3.1342,-170.41
7.5,16,7.0013,217,171.29,3.1563,-171.26
7.5,17,6.997,210,172.13,3.1772,-172.1
7.5,18,6.9967,204,172.98,3.2004,-172.95
7.5,19,7.0019,197,173.83,3.2287,-173.8
7.5,20,6.9985,190,174.68,3.2643,-174.65
7.5,21,6.9984,184,175.54,3.3098,-175.51
7.5,22,6.9998,177,176.41,3.3655,-176.38
7.5,23,6.9987,170,177.3,3.4338,-177.26
7.5,24,6.9991,164,178.2,3.5138,-178.17
7.5,25,6.9967,157,179.13,3.6062,-179.1
7.5,26,6.9997,150,180.09,3.7104,-180.05
7.5,27,6.9993,144,181.08,3.8251,-181.04
7.5,28,6.9975,137,182.11,3.9494,-182.07
7.5,29,7.0041,131,183.18,4.08,-183.13
7.5,30,6.9955,124,184.29,4.2143,-184.24
7.5,31,7.0066,118,185.44,4.3483,-185.39
7.5,32,6.999,111,186.64,4.4772,-186.58
7.5,33,7.008,105,187.88,4.5958,-187.82
7.5,34,6.9962,99,189.16,4.6974,-189.1
7.5,35,7.4986,93,190.48,4.7746,-190.42
7.5,36,7.4989,85,191.83,4.8196,-191.77
7.5,37,7.4978,78,193.2,4.8236,-193.14
7.5,38,7.4927,72,194.58,4.7771,-194.52
7.5,39,7.4969,65,195.95,4.6724,-195.9
7.5,40,7.5005,58,197.3,4.4997,-197.25
7.5,41,7.4953,52,198.59,4.2551,-198.55
7.5,42,7.5022,45,199.82,3.9306,-199.78
7.5,43,7.4975,38,200.95,3.5261,-200.92
7.5,44,7.5011,32,201.95,3.0447,-201.93
7.5,45,7.4985,25,202.8,2.4928,-202.79
7.5,46,7.4998,19,203.48,1.878,-203.47
7.5,47,7.4989,12,203.96,1.2151,-203.96
7.5,48,7.499,6,207.35,0.66338,-207.35
7.5,49,7.5,1,2970.6,0.45469,-2970.6
8.5,0,NaN,NaN,920.26,7.0187,920.23
8.5,1,7.4982,318,160.72,0.55356,-160.72
8.5,2,7.4963,311,160.95,1.0152,-160.95
8.5,3,7.5003,304,161.31,1.4513,-161.3
8.5,4,7.5026,298,161.77,1.8513,-161.76
8.5,5,7.497,291,162.34,2.2097,-162.32
8.5,6,7.4989,284,162.99,2.5205,-162.97
8.5,7,7.5053,278,163.71,2.7815,-163.69
8.5,8,7.4981,271,164.49,2.9978,-164.46
8.5,9,7.4995,264,165.3,3.1684,-165.27
8.5,10,7.5078,258,166.14,3.2985,-166.11
8.5,11,7.4992,251,166.99,3.3961,-166.96
8.5,12,7.5025,245,167.85,3.4645,-167.82
8.5,13,7.497,239,168.71,3.5123,-168.68
8.5,14,7.9986,232,169.57,3.5436,-169.54
8.5,15,8.0005,225,170.43,3.565,-170.39
8.5,16,7.992,218,171.28,3.5813,-171.24
8.5,17,7.9924,211,172.12,3.5975,-172.08
8.5,18,7.9994,204,172.96,3.6172,-172.93
8.5,19,8.0013,197,173.8,3.6439,-173.77
8.5,20,7.9953,190,174.65,3.68,-174.61
8.5,21,7.9956,184,175.49,3.7281,-175.46
8.5,22,8.0023,177,176.35,3.7895,-176.31
8.5,23,7.9983,170,177.23,3.8656,-177.19
8.5,24,7.9983,164,178.12,3.9561,-178.08
8.5,25,8.0005,157,179.04,4.0626,-178.99
8.5,26,7.9989,150,179.98,4.1832,-179.94
8.5,27,7.9989,144,180.96,4.3182,-180.91
8.5,28,7.9974,137,181.98,4.4629,-181.93
8.5,29,8.0006,130,183.04,4.6184,-182.99
8.5,30,7.9968,124,184.15,4.7792,-184.09
8.5,31,8.0001,117,185.31,4.9418,-185.24
8.5,32,8.0007,111,186.51,5.1009,-186.44
8.5,33,8.0008,104,187.77,5.2484,-187.69
8.5,34,7.9996,98,189.07,5.3807,-189
8.5,35,8.0035,92,190.42,5.4853,-190.34
8.5,36,8.0076,87,191.81,5.5554,-191.73
8.5,37,8.5012,79,193.23,5.5781,-193.15
8.5,38,8.4898,72,194.67,5.5443,-194.59
8.5,39,8.4989,65,196.11,5.442,-196.04
8.5,40,8.4992,58,197.53,5.2608,-197.46
8.5,41,8.494,52,198.91,4.9911,-198.85
8.5,42,8.5025,45,200.22,4.6255,-200.17
8.5,43,8.4972,38,201.43,4.1653,-201.39
8.5,44,8.5015,32,202.52,3.6092,-202.49
8.5,45,8.4985,25,203.44,2.9629,-203.42
8.5,46,8.5001,19,204.18,2.2368,-204.17
8.5,47,8.4989,12,204.71,1.4492,-204.7
8.5,48,8.4992,6,208.07,0.73263,-208.07
8.5,49,8.5,1,2970.9,0.46599,-2970.9
9.5,0,NaN,NaN,920.62,6.2862,920.59
9.5,1,8.5001,318,160.21,0.65195,-160.21
9.5,2,8.5006,311,160.47,1.1944,-160.46
9.5,3,8.4989,304,160.85,1.7039,-160.84
9.5,4,8.4989,298,161.37,2.1681,-161.35
9.5,5,8.4993,291,161.99,2.5772,-161.97
9.5,6,8.4984,284,162.7,2.9292,-162.67
9.5,7,8.4993,277,163.47,3.2208,-163.44
9.5,8,8.4997,271,164.3,3.4535,-164.26
9.5,9,8.4961,264,165.16,3.6361,-165.12
9.5,10,8.4991,257,166.04,3.7699,-165.99
9.5,11,8.5026,251,166.92,3.8641,-166.88
9.5,12,8.4978,244,167.81,3.9271,-167.76
9.5,13,8.5001,237,168.69,3.9653,-168.64
9.5,14,8.5055,231,169.56,3.9871,-169.52
9.5,15,8.4996,224,170.43,3.9988,-170.38
9.5,16,8.5071,218,171.28,4.0062,-171.23
9.5,17,8.496,212,172.12,4.0145,-172.07
9.5,18,8.9954,206,172.95,4.0283,-172.91
9.5,19,8.9978,198,173.78,4.0514,-173.74
9.5,20,8.9972,191,174.61,4.0862,-174.57
9.5,21,8.9991,184,175.45,4.136,-175.4
9.5,22,8.9989,177,176.29,4.202,-176.24
9.5,23,8.9932,171,177.15,4.2856,-177.1
9.5,24,8.9959,164,178.03,4.3866,-177.97
9.5,25,9.0021,157,178.93,4.5073,-178.87
9.5,26,8.9978,150,179.86,4.6451,-179.8
9.5,27,8.9989,144,180.83,4.7995,-180.76
9.5,28,9.0002,137,181.83,4.9699,-181.77
9.5,29,8.9991,130,182.89,5.1512,-182.81
9.5,30,8.9979,124,183.99,5.3417,-183.91
9.5,31,8.9988,117,185.15,5.5373,-185.06
9.5,32,9.0015,111,186.36,5.7313,-186.27
9.5,33,8.9965,104,187.63,5.9158,-187.54
9.5,34,9.0059,98,188.96,6.0818,-188.86
9.5,35,8.9986,91,190.34,6.2241,-190.24
9.5,36,9.0022,85,191.77,6.3262,-191.67
9.5,37,8.996,79,193.25,6.3775,-193.15
9.5,38,9.499,73,194.76,6.3638,-194.65
9.5,39,9.4989,65,196.28,6.2734,-196.18
9.5,40,9.4972,58,197.79,6.0878,-197.69
9.5,41,9.4924,52,199.27,5.8021,-199.18
9.5,42,9.5025,45,200.68,5.401,-200.61
9.5,43,9.4971,38,202,4.8805,-201.94
9.5,44,9.5018,32,203.18,4.2426,-203.14
9.5,45,9.4986,25,204.2,3.4932,-204.17
9.5,46,9.5004,19,205.01,2.644,-205
9.5,47,9.4991,12,205.59,1.7161,-205.59
9.5,48,9.4994,6,209.03,0.85835,-209.03
9.5,49,9.5,1,2970.9,0.43175,-2970.9
10.5,0,NaN,NaN,920.87,5.7566,920.85
10.5,1,9.5013,318,159.61,0.76494,-159.6
10.5,2,9.4968,311,159.9,1.4007,-159.89
10.5,3,9.4919,305,160.33,1.9932,-160.32
10.5,4,9.4961,298,160.9,2.5276,-160.88
10.5,5,9.5016,291,161.59,2.9933,-161.56
10.5,6,9.5002,284,162.37,3.3865,-162.33
10.5,7,9.497,277,163.21,3.7044,-163.17
10.5,8,9.4978,271,164.1,3.9532,-164.05
10.5,9,9.5018,264,165.01,4.1404,-164.96
10.5,10,9.4995,257,165.94,4.2709,-165.88
10.5,11,9.4992,250,166.86,4.357,-166.81
10.5,12,9.4987,244,167.78,4.4072,-167.72
10.5,13,9.4975,237,168.68,4.4312,-168.62
10.5,14,9.5005,230,169.57,4.4383,-169.51
10.5,15,9.5007,224,170.43,4.4351,-170.38
