r_start [cm] , z_start [cm] , r_end [cm] , t_end [us] , E_start [V/cm], Er_start [V/cm] , Ez_start [V/cm]
0.5,0,NaN,NaN,925.8,106.97,919.6
0.5,1,0.48816,318,165.11,-2.0427,-165.1
0.5,2,0.4865,311,163.26,-0.15694,-163.26
0.5,3,0.48705,304,163.13,0.025829,-163.13
0.5,4,0.4876,298,163.36,0.077374,-163.36
0.5,5,0.48737,291,163.73,0.10512,-163.73
0.5,6,0.48655,284,164.19,0.1257,-164.19
0.5,7,0.48739,277,164.73,0.14188,-164.73
0.5,8,0.48813,271,165.33,0.15623,-165.33
0.5,9,0.48652,264,165.98,0.16781,-165.98
0.5,10,0.48686,257,166.67,0.17779,-166.67
0.5,11,0.48761,250,167.4,0.18579,-167.4
0.5,12,0.48742,244,168.16,0.1924,-168.15
0.5,13,0.48648,237,168.94,0.19798,-168.94
0.5,14,0.48758,230,169.74,0.20232,-169.74
0.5,15,0.48814,224,170.55,0.20605,-170.55
0.5,16,0.48624,217,171.38,0.20909,-171.38
0.5,17,0.48744,210,172.22,0.21191,-172.22
0.5,18,0.4884,204,173.08,0.21484,-173.08
0.5,19,0.48612,197,173.94,0.21772,-173.94
0.5,20,0.48737,190,174.82,0.22095,-174.82
0.5,21,0.48847,184,175.71,0.22466,-175.71
0.5,22,0.48601,177,176.62,0.2288,-176.62
0.5,23,0.48751,170,177.54,0.23365,-177.54
0.5,24,0.48833,164,178.49,0.23909,-178.49
0.5,25,0.48593,157,179.45,0.24436,-179.45
0.5,26,0.48783,150,180.45,0.25094,-180.44
0.5,27,0.48734,144,181.46,0.2579,-181.46
0.5,28,0.48627,137,182.51,0.26491,-182.51
0.5,29,0.48812,131,183.58,0.272,-183.58
0.5,30,0.48547,124,184.68,0.27918,-184.68
0.5,31,0.48744,117,185.82,0.28602,-185.82
0.5,32,0.48788,111,186.97,0.29185,-186.97
0.5,33,0.48575,104,188.15,0.29706,-188.15
0.5,34,0.48814,98,189.35,0.30063,-189.35
0.5,35,0.4848,91,190.56,0.30266,-190.55
0.5,36,0.48784,84,191.77,0.30218,-191.77
0.5,37,0.48616,78,192.97,0.29897,-192.97
0.5,38,0.48697,71,194.15,0.29279,-194.15
0.5,39,0.48792,65,195.31,0.28242,-195.31
0.5,40,0.48579,58,196.41,0.26937,-196.41
0.5,41,0.48839,52,197.45,0.25132,-197.45
0.5,42,0.48488,45,198.41,0.22702,-198.41
0.5,43,0.48836,39,199.27,0.19916,-199.27
0.5,44,0.48427,32,199.99,0.16184,-199.99
0.5,45,0.48822,25,200.54,0.10487,-200.54
0.5,46,0.48391,19,200.76,-0.025629,-200.76
0.5,47,0.48822,12,199.96,-0.70968,-199.95
0.5,48,0.48511,6,199.13,-10.077,-198.88
0.5,49,0.50103,1,2975.2,-12.744,-2975.2
1.5,0,NaN,NaN,920.48,39.029,919.65
1.5,1,1.4939,318,162.5,-0.5808,-162.5
1.5,2,1.4974,311,162.83,-0.098086,-162.83
1.5,3,1.4905,304,163.01,0.13051,-163.01
1.5,4,1.488,298,163.3,0.24385,-163.3
1.5,5,1.4962,291,163.69,0.32026,-163.68
1.5,6,1.495,284,164.16,0.37953,-164.16
1.5,7,1.4893,278,164.7,0.42777,-164.7
1.5,8,1.4908,271,165.3,0.47037,-165.3
1.5,9,1.4977,264,165.96,0.50563,-165.96
1.5,10,1.4929,257,166.65,0.53497,-166.65
1.5,11,1.4891,251,167.38,0.55898,-167.38
1.5,12,1.4947,244,168.14,0.57832,-168.14
1.5,13,1.4955,237,168.93,0.59426,-168.93
1.5,14,1.4908,231,169.73,0.60729,-169.73
1.5,15,1.4922,224,170.55,0.61805,-170.55
1.5,16,1.497,217,171.38,0.62732,-171.38
1.5,17,1.4924,210,172.22,0.63581,-172.22
1.5,18,1.4914,204,173.07,0.64414,-173.07
1.5,19,1.4975,197,173.94,0.65291,-173.94
1.5,20,1.493,190,174.81,0.66263,-174.81
1.5,21,1.4917,184,175.71,0.67355,-175.7
1.5,22,1.4974,177,176.61,0.68595,-176.61
1.5,23,1.4931,170,177.53,0.70009,-177.53
1.5,24,1.4927,164,178.48,0.71599,-178.48
1.5,25,1.4968,157,179.44,0.73346,-179.44
1.5,26,1.4929,150,180.43,0.75268,-180.43
