r_start [cm] , z_start [cm] , r_end [cm] , t_end [us] , E_start [V/cm], Er_start [V/cm] , Ez_start [V/cm]
11.5,10,5.9987,254,99.127,24.057,-96.163
11.5,11,5.9954,246,104.05,25.81,-100.8
11.5,12,6.0039,240,109.22,27.447,-105.71
11.5,13,6.5034,232,114.59,28.985,-110.87
11.5,14,6.4985,228,120.17,30.432,-116.26
11.5,15,6.5026,218,125.93,31.802,-121.85
11.5,16,6.9907,211,131.86,33.114,-127.64
11.5,17,7.0022,203,137.96,34.388,-133.6
11.5,18,6.9947,196,144.23,35.639,-139.76
11.5,19,7.5082,191,150.68,36.88,-146.1
11.5,20,7.4998,185,157.32,38.128,-152.63
11.5,21,7.4993,176,164.15,39.392,-159.35
11.5,22,7.4994,170,171.19,40.681,-166.29
11.5,23,8.0032,162,178.46,41.996,-173.45
11.5,24,7.9916,155,185.97,43.345,-180.85
11.5,25,7.9989,150,193.73,44.721,-188.5
11.5,26,8.4975,142,201.78,46.113,-196.44
11.5,27,8.4928,135,210.1,47.513,-204.66
11.5,28,8.4987,130,218.71,48.902,-213.18
11.5,29,9.0018,122,227.64,50.257,-222.02
11.5,30,8.9951,115,236.86,51.556,-231.18
11.5,31,9.0003,113,246.38,52.753,-240.67
11.5,32,9.5002,105,256.19,53.811,-250.48
11.5,33,9.4887,96,266.28,54.682,-260.6
11.5,34,9.997,91,276.59,55.304,-271
11.5,35,9.9992,85,287.1,55.618,-281.66
11.5,36,9.9917,77,297.73,55.547,-292.5
11.5,37,10.473,72,308.43,55.045,-303.48
11.5,38,10.506,65,319.08,54.016,-314.48
11.5,39,10.495,59,329.59,52.395,-325.4
11.5,40,10.992,54,339.83,50.106,-336.12
11.5,41,11.004,47,349.65,47.107,-346.46
11.5,42,10.997,41,358.89,43.33,-356.26
11.5,43,10.983,35,367.37,38.772,-365.32
11.5,44,11.5,31,374.91,33.425,-373.42
11.5,45,11.499,24,381.34,27.342,-380.36
11.5,46,11.5,20,386.43,20.593,-385.88
11.5,47,11.499,12,390.06,13.321,-389.83
11.5,48,11.499,6,395.74,5.6908,-395.7
11.5,49,11.5,1,3584.3,1.2422,-3584.3
12.5,0,NaN,NaN,785.46,4.2285,785.44
12.5,1,5.4989,327,68.812,3.4911,-68.724
12.5,2,5.5115,320,69.954,6.4731,-69.654
12.5,3,5.9951,310,71.736,9.3911,-71.119
12.5,4,6.003,304,74.121,12.221,-73.106
12.5,5,6.0078,293,77.047,14.937,-75.586
12.5,6,5.9993,285,80.463,17.535,-78.529
12.5,7,5.9952,277,84.306,19.993,-81.901
12.5,8,5.9982,273,88.53,22.308,-85.673
12.5,9,6.5114,262,93.089,24.48,-89.813
12.5,10,6.4992,257,97.938,26.51,-94.282
12.5,11,6.4899,247,103.04,28.394,-99.046
12.5,12,6.4976,241,108.35,30.144,-104.07
12.5,13,7,235,113.86,31.774,-109.34
12.5,14,6.9944,225,119.54,33.306,-114.81
12.5,15,6.9919,218,125.38,34.75,-120.47
12.5,16,7.5095,211,131.38,36.131,-126.31
12.5,17,7.4986,204,137.52,37.469,-132.31
12.5,18,7.4945,197,143.81,38.786,-138.48
12.5,19,8.0058,190,150.27,40.101,-144.82
12.5,20,7.998,183,156.9,41.428,-151.33
12.5,21,7.9923,176,163.72,42.782,-158.03
12.5,22,8.5139,169,170.74,44.174,-164.93
12.5,23,8.4929,162,177.99,45.602,-172.05
12.5,24,8.4989,158,185.49,47.086,-179.42
12.5,25,8.9977,149,193.25,48.608,-187.04
12.5,26,8.9935,142,201.3,50.166,-194.95
12.5,27,9.5081,137,209.65,51.751,-203.16
12.5,28,9.4987,129,218.32,53.335,-211.7
12.5,29,9.4834,122,227.31,54.905,-220.58
12.5,30,9.9959,116,236.64,56.427,-229.82
12.5,31,9.9985,109,246.31,57.86,-239.42
12.5,32,9.9983,103,256.31,59.168,-249.38
12.5,33,10.512,96,266.64,60.286,-259.73
12.5,34,10.498,90,277.24,61.146,-270.41
12.5,35,10.999,87,288.09,61.685,-281.41
12.5,36,11.004,77,299.14,61.823,-292.68
12.5,37,10.983,71,310.32,61.467,-304.17
12.5,38,11.508,65,321.51,60.544,-315.75
12.5,39,11.5,59,332.61,58.948,-327.35
12.5,40,11.489,53,343.51,56.62,-338.81
12.5,41,12.005,47,354.02,53.435,-349.96
12.5,42,12.001,41,363.96,49.355,-360.6
12.5,43,11.991,35,373.19,44.352,-370.54
12.5,44,12.013,30,381.43,38.389,-379.49
12.5,45,12.488,24,388.49,31.511,-387.21
12.5,46,12.501,20,394.14,23.812,-393.42
12.5,47,12.499,12,398.18,15.434,-397.88
12.5,48,12.5,6,404.07,6.6795,-404.01
12.5,49,12.5,1,3585.3,1.3366,-3585.3
13.5,0,NaN,NaN,787.07,3.9471,787.06
13.5,1,5.9976,332,65.67,3.8748,-65.556
13.5,2,5.9846,319,66.929,7.1813,-66.542
13.5,3,5.9958,311,68.885,10.408,-68.094
13.5,4,6.4978,305,71.481,13.525,-70.189
13.5,5,6.4866,295,74.642,16.511,-72.793
13.5,6,6.5036,286,78.314,19.35,-75.886
13.5,7,6.4971,278,82.411,22.034,-79.41
13.5,8,6.5017,271,86.878,24.548,-83.337
13.5,9,6.9977,264,91.667,26.893,-87.633
13.5,10,7.006,255,96.726,29.076,-92.252
13.5,11,6.9984,248,102.02,31.078,-97.169
13.5,12,6.9983,242,107.5,32.933,-102.33
13.5,13,7.5095,233,113.16,34.649,-107.72
13.5,14,7.4981,226,118.95,36.247,-113.3
13.5,15,7.4947,220,124.88,37.746,-119.04
13.5,16,7.9998,214,130.92,39.178,-124.93
13.5,17,7.9948,204,137.1,40.565,-130.96
13.5,18,8.4991,199,143.41,41.934,-137.14
13.5,19,8.5041,190,149.86,43.306,-143.46
13.5,20,8.4936,183,156.47,44.701,-149.95
13.5,21,8.9837,177,163.27,46.136,-156.61
13.5,22,8.9989,169,170.27,47.626,-163.47
13.5,23,8.998,163,177.48,49.175,-170.53
13.5,24,9.5018,156,184.95,50.787,-177.84
13.5,25,9.4928,149,192.7,52.465,-185.42
13.5,26,9.999,144,200.74,54.191,-193.28
13.5,27,9.999,137,209.11,55.975,-201.47
13.5,28,9.9864,129,217.81,57.776,-210.01
13.5,29,10.506,122,226.87,59.581,-218.91
13.5,30,10.499,116,236.3,61.351,-228.2
13.5,31,11,111,246.12,63.063,-237.9
13.5,32,10.999,103,256.32,64.651,-248.03
13.5,33,10.999,98,266.9,66.073,-258.59
13.5,34,11.51,90,277.81,67.22,-269.55
13.5,35,11.499,84,289.05,68.054,-280.93
13.5,36,11.999,81,300.56,68.452,-292.66
13.5,37,12.002,71,312.27,68.335,-304.7
13.5,38,11.983,65,324.07,67.583,-316.94
13.5,39,12.507,59,335.86,66.094,-329.29
13.5,40,12.498,53,347.48,63.749,-341.59
13.5,41,12.499,49,358.81,60.474,-353.68
13.5,42,13.002,41,369.61,56.139,-365.32
13.5,43,12.997,35,379.68,50.703,-376.28
13.5,44,12.986,29,388.81,44.099,-386.3
13.5,45,13.482,24,396.68,36.364,-395.01
13.5,46,13.501,20,403.01,27.58,-402.06
13.5,47,13.499,12,407.58,17.93,-407.19
13.5,48,13.5,6,413.81,7.8528,-413.74
13.5,49,13.5,1,3586.6,1.7516,-3586.6
14.5,0,NaN,NaN,788.98,3.7688,788.97
14.5,1,6.5014,329,62.192,4.2953,-62.043
14.5,2,6.4986,321,63.6,7.9546,-63.101
14.5,3,6.4946,312,65.775,11.515,-64.76
14.5,4,6.4863,304,68.636,14.937,-66.991
14.5,5,6.4985,297,72.083,18.204,-69.746
14.5,6,6.9968,288,76.043,21.293,-73.001
14.5,7,6.9987,284,80.433,24.203,-76.705
14.5,8,6.9994,272,85.172,26.918,-80.807
14.5,9,6.9992,265,90.229,29.436,-85.292
14.5,10,7.513,256,95.533,31.756,-90.1
14.5,11,7.4987,256,101.04,33.888,-95.184
14.5,12,7.5099,242,106.71,35.834,-100.51
14.5,13,7.9999,234,112.51,37.617,-106.04
14.5,14,7.9985,228,118.43,39.262,-111.73
14.5,15,8.4989,221,124.43,40.796,-117.56
14.5,16,8.505,212,130.53,42.256,-123.51
14.5,17,8.4867,205,136.73,43.672,-129.57
14.5,18,9.0087,198,143.04,45.074,-135.76
14.5,19,8.9985,191,149.47,46.488,-142.06
14.5,20,8.9997,185,156.05,47.937,-148.51
14.5,21,9.5009,177,162.8,49.446,-155.11
14.5,22,9.4907,170,169.75,51.024,-161.9
14.5,23,10.014,163,176.91,52.685,-168.89
14.5,24,9.9963,156,184.35,54.431,-176.13
14.5,25,9.999,151,192.05,56.264,-183.63
14.5,26,10.499,145,200.08,58.182,-191.43
14.5,27,10.49,136,208.44,60.16,-199.57
14.5,28,11.012,129,217.17,62.195,-208.07
14.5,29,10.999,124,226.29,64.26,-216.97
14.5,30,11.493,117,235.82,66.321,-226.3
14.5,31,11.499,109,245.77,68.339,-236.08
14.5,32,11.498,108,256.18,70.266,-246.35
14.5,33,12,99,267.01,72.02,-257.11
14.5,34,11.982,90,278.26,73.545,-268.36
14.5,35,12.501,84,289.92,74.735,-280.12
14.5,36,12.497,80,301.93,75.471,-292.35
14.5,37,13.007,73,314.22,75.665,-304.97
14.5,38,12.997,65,326.7,75.17,-317.94
14.5,39,13.007,60,339.26,73.868,-331.12
14.5,40,13.5,53,351.75,71.631,-344.38
14.5,41,13.494,47,363.99,68.343,-357.52
14.5,42,14.009,41,375.8,63.811,-370.35
14.5,43,14,35,386.94,57.951,-382.57
14.5,44,13.981,29,397.13,50.739,-393.88
14.5,45,14.499,25,405.99,42.083,-403.8
14.5,46,14.503,17,413.23,32.067,-411.98
14.5,47,14.499,14,418.49,20.932,-417.97
14.5,48,14.5,6,425.07,9.1709,-424.98
14.5,49,14.5,1,3588.1,1.7972,-3588.1
15.5,0,NaN,NaN,790.93,3.6348,790.92
15.5,1,6.9921,332,58.346,4.7634,-58.151
15.5,2,7.0007,323,59.951,8.8121,-59.3
15.5,3,7.0092,314,62.405,12.73,-61.093
15.5,4,6.9987,306,65.593,16.479,-63.49
15.5,5,6.9903,297,69.385,20.032,-66.431
15.5,6,6.9989,291,73.691,23.384,-69.883
15.5,7,7.5047,281,78.403,26.526,-73.78
15.5,8,7.4989,273,83.465,29.44,-78.101
15.5,9,7.489,265,88.811,32.137,-82.793
15.5,10,8.0061,260,94.384,34.606,-87.811
15.5,11,7.9985,252,100.12,36.842,-93.1
15.5,12,7.9918,242,106,38.865,-98.621
15.5,13,8.4964,235,111.97,40.693,-104.31
15.5,14,8.4912,227,118,42.36,-110.13
15.5,15,9.0003,222,124.09,43.904,-116.06
15.5,16,8.9991,213,130.23,45.366,-122.07
15.5,17,8.9986,206,136.44,46.785,-128.16
15.5,18,9.4998,203,142.73,48.197,-134.34
15.5,19,9.4965,194,149.12,49.635,-140.61
15.5,20,9.9849,185,155.64,51.126,-147.01
15.5,21,9.9974,177,162.32,52.689,-153.53
15.5,22,9.9971,172,169.2,54.354,-160.23
15.5,23,10.499,167,176.3,56.124,-167.13
15.5,24,10.499,157,183.66,58.001,-174.26
15.5,25,11.001,150,191.32,59.995,-181.67
15.5,26,10.991,143,199.31,62.099,-189.39
15.5,27,11.485,137,207.65,64.294,-197.45
15.5,28,11.499,132,216.39,66.581,-205.89
15.5,29,12,125,225.55,68.923,-214.76
15.5,30,12.002,116,235.15,71.306,-224.08
15.5,31,11.999,111,245.24,73.664,-233.92
15.5,32,12.508,103,255.84,75.974,-244.3
15.5,33,12.496,97,266.95,78.152,-255.25
15.5,34,13.008,90,278.56,80.11,-266.79
15.5,35,12.987,84,290.66,81.732,-278.93
15.5,36,13.499,79,303.21,82.919,-291.65
15.5,37,13.489,71,316.17,83.529,-304.94
15.5,38,14.018,65,329.4,83.409,-318.66
15.5,39,13.994,59,342.78,82.41,-332.73
15.5,40,14.509,53,356.23,80.383,-347.04
15.5,41,14.499,47,369.56,77.146,-361.42
15.5,42,14.499,45,382.57,72.56,-375.63
15.5,43,15.002,35,394.97,66.424,-389.35
15.5,44,14.991,29,406.47,58.571,-402.23
15.5,45,15,27,416.63,48.925,-413.75
15.5,46,15.505,17,425.03,37.537,-423.37
15.5,47,15.499,13,431.22,24.626,-430.52
15.5,48,15.499,6,438.25,10.653,-438.12
15.5,49,15.5,1,3589.9,2.1194,-3589.9
16.5,0,NaN,NaN,793.27,3.4885,793.27
16.5,1,6.9845,334,54.092,5.2947,-53.832
16.5,2,6.9905,325,55.965,9.78,-55.104
16.5,3,7.5149,318,58.788,14.089,-57.075
16.5,4,7.4943,308,62.384,18.179,-59.677
16.5,5,7.5013,299,66.584,22.034,-62.833
16.5,6,7.4982,294,71.281,25.648,-66.507
16.5,7,7.4986,284,76.369,29.013,-70.643
16.5,8,8.0107,274,81.779,32.149,-75.194
16.5,9,7.9921,266,87.454,35.027,-80.133
16.5,10,8.5152,260,93.32,37.635,-85.394
16.5,11,8.4994,253,99.332,39.974,-90.934
16.5,12,8.486,243,105.43,42.05,-96.68
16.5,13,8.9973,236,111.56,43.898,-102.57
16.5,14,8.99,228,117.71,45.555,-108.54
16.5,15,9.4993,224,123.87,47.074,-114.58
16.5,16,9.4989,213,130.03,48.506,-120.65
16.5,17,9.499,208,136.23,49.899,-126.76
16.5,18,10.006,199,142.48,51.296,-132.92
16.5,19,9.9856,192,148.81,52.734,-139.15
16.5,20,10.508,185,155.25,54.246,-145.46
16.5,21,10.491,178,161.84,55.856,-151.89
16.5,22,11.015,171,168.61,57.587,-158.47
16.5,23,10.993,164,175.62,59.457,-165.25
16.5,24,11.483,158,182.89,61.465,-172.25
16.5,25,11.497,150,190.47,63.625,-179.53
16.5,26,11.499,145,198.4,65.92,-187.13
16.5,27,11.999,137,206.7,68.352,-195.07
16.5,28,11.998,137,215.44,70.903,-203.44
16.5,29,12.508,123,224.61,73.537,-212.24
16.5,30,12.499,117,234.29,76.258,-221.53
16.5,31,13.004,110,244.49,79.019,-231.37
16.5,32,13.003,104,255.27,81.761,-241.82
16.5,33,13.502,97,266.63,84.417,-252.91
16.5,34,13.512,91,278.62,86.875,-264.72
16.5,35,14.009,84,291.19,89.056,-277.24
16.5,36,13.996,78,304.31,90.785,-290.45
16.5,37,14.503,71,317.99,91.916,-304.41
16.5,38,14.488,68,332.06,92.3,-318.98
16.5,39,15.003,59,346.41,91.731,-334.04
16.5,40,14.997,53,360.92,90.042,-349.51
16.5,41,15.5,47,375.48,87.076,-365.25
16.5,42,15.491,41,389.8,82.554,-380.96
16.5,43,16.013,35,403.77,76.224,-396.51
16.5,44,15.997,29,416.87,67.901,-411.31
16.5,45,15.987,26,428.76,57.262,-424.92
16.5,46,16.503,20,438.73,44.335,-436.49
16.5,47,16.499,13,446.19,29.285,-445.22
16.5,48,16.5,6,454.15,12.637,-453.97
16.5,49,16.5,1,3592,2.462,-3592
17.5,0,NaN,NaN,795.95,3.4212,795.95
17.5,1,7.5009,337,49.378,5.9166,-49.022
17.5,2,7.4987,330,51.633,10.904,-50.469
17.5,3,7.4975,321,54.95,15.635,-52.679
17.5,4,7.4985,310,59.061,20.08,-55.543
17.5,5,7.9986,304,63.757,24.228,-58.974
17.5,6,8.007,292,68.879,28.099,-62.887
17.5,7,7.9991,284,74.37,31.704,-67.273
17.5,8,8.5001,277,80.161,35.057,-72.088
17.5,9,8.5019,267,86.197,38.128,-77.305
17.5,10,8.508,260,92.398,40.886,-82.86
17.5,11,8.9975,252,98.711,43.319,-88.698
17.5,12,8.9922,244,105.05,45.428,-94.717
17.5,13,9.493,237,111.36,47.26,-100.84
17.5,14,9.4948,229,117.62,48.859,-106.99
17.5,15,9.9985,222,123.82,50.309,-113.14
17.5,16,9.996,214,129.98,51.669,-119.27
17.5,17,10.497,211,136.14,53.003,-125.4
17.5,18,10.499,200,142.32,54.356,-131.53
17.5,19,10.5,194,148.55,55.768,-137.68
17.5,20,10.999,186,154.88,57.277,-143.9
17.5,21,10.998,179,161.34,58.91,-150.2
17.5,22,11.499,173,167.99,60.704,-156.63
17.5,23,11.499,165,174.86,62.667,-163.24
17.5,24,11.998,158,182.02,64.811,-170.09
17.5,25,11.993,151,189.5,67.134,-177.21
17.5,26,12.514,144,197.35,69.629,-184.66
17.5,27,12.486,137,205.6,72.294,-192.47
17.5,28,13.002,133,214.29,75.117,-200.69
17.5,29,13,124,223.46,78.083,-209.38
17.5,30,13.515,117,233.16,81.162,-218.58
17.5,31,13.492,110,243.47,84.352,-228.39
17.5,32,14.002,104,254.41,87.572,-238.86
17.5,33,13.984,97,266.03,90.793,-250.06
17.5,34,14.499,91,278.37,93.872,-262.07
17.5,35,14.496,86,291.43,96.683,-274.93
17.5,36,15,78,305.24,99.106,-288.7
17.5,37,14.987,73,319.65,100.91,-303.31
17.5,38,15.501,65,334.64,101.9,-318.75
17.5,39,15.982,60,350.01,101.91,-334.84
17.5,40,15.999,53,365.75,100.74,-351.6
17.5,41,16.5,50,381.6,98.179,-368.75
17.5,42,16.499,41,397.54,93.981,-386.27
17.5,43,16.488,37,413.25,87.746,-403.83
17.5,44,17,29,428.45,79.14,-421.08
17.5,45,16.979,23,442.51,67.631,-437.31
17.5,46,17.503,18,454.69,52.984,-451.59
17.5,47,17.499,13,463.97,35.359,-462.62
17.5,48,17.5,6,472.96,15.431,-472.71
17.5,49,17.5,1,3594.5,3.1646,-3594.5
18.5,0,NaN,NaN,798.9,3.3594,798.89
18.5,1,7.4988,343,44.135,6.6798,-43.626
18.5,2,7.9994,332,46.968,12.254,-45.341
18.5,3,8.0144,321,50.97,17.44,-47.893
18.5,4,8.0019,312,55.723,22.223,-51.1
18.5,5,7.9916,303,60.959,26.64,-54.83
18.5,6,8.4997,296,66.558,30.751,-59.028
18.5,7,8.4994,288,72.465,34.603,-63.67
18.5,8,8.4837,277,78.656,38.185,-68.766
18.5,9,9.0038,269,85.078,41.47,-74.286
18.5,10,8.9998,261,91.666,44.405,-80.193
18.5,11,9.5036,253,98.322,46.932,-86.398
18.5,12,9.4933,245,104.93,49.043,-92.767
18.5,13,9.9919,238,111.43,50.799,-99.178
18.5,14,9.997,230,117.78,52.287,-105.54
18.5,15,10.492,223,123.99,53.604,-111.81
18.5,16,10.494,215,130.11,54.848,-117.99
18.5,17,10.999,211,136.18,56.082,-124.1
18.5,18,10.999,205,142.26,57.36,-130.18
18.5,19,11.5,195,148.36,58.714,-136.25
18.5,20,11.497,186,154.54,60.194,-142.34
18.5,21,11.999,181,160.84,61.832,-148.48
18.5,22,11.997,172,167.31,63.666,-154.73
18.5,23,11.996,167,174.03,65.725,-161.14
18.5,24,12.499,158,181.04,68.003,-167.78
18.5,25,13.017,155,188.39,70.493,-174.71
18.5,26,12.999,147,196.14,73.191,-181.97
18.5,27,13.002,139,204.3,76.088,-189.6
18.5,28,13.499,131,212.92,79.193,-197.65
18.5,29,13.515,127,222.05,82.48,-206.16
18.5,30,13.998,117,231.76,85.957,-215.23
18.5,31,14.502,111,242.11,89.597,-224.92
18.5,32,14.491,104,253.17,93.371,-235.32
18.5,33,14.997,98,265.03,97.209,-246.55
18.5,34,14.982,91,277.73,101.01,-258.71
18.5,35,15.499,86,291.35,104.64,-271.91
18.5,36,15.493,80,305.82,107.86,-286.17
18.5,37,15.999,72,321.13,110.49,-301.52
18.5,38,16.499,68,337.11,112.28,-317.86
18.5,39,16.487,59,353.61,112.99,-335.08
18.5,40,17.021,53,370.57,112.47,-353.09
18.5,41,16.989,47,387.9,110.61,-371.79
18.5,42,17.5,41,405.52,107.02,-391.15
18.5,43,17.488,35,423.38,101.31,-411.08
18.5,44,18.003,29,441.15,92.828,-431.27
18.5,45,17.988,23,458.1,80.697,-450.94
18.5,46,18.481,18,473.36,64.347,-468.97
18.5,47,18.499,14,485.4,43.566,-483.44
18.5,48,18.5,6,496.18,19.055,-495.82
18.5,49,18.5,1,3597.7,3.6906,-3597.7
19.5,0,NaN,NaN,802.35,3.2907,802.34
19.5,1,8.0031,344,38.278,7.6841,-37.499
19.5,2,7.9975,334,42.049,13.961,-39.664
19.5,3,7.9876,324,47.012,19.608,-42.728
19.5,4,8.0018,316,52.548,24.675,-46.395
19.5,5,8.501,308,58.355,29.292,-50.471
19.5,6,8.4934,296,64.408,33.617,-54.939
19.5,7,8.9998,289,70.71,37.693,-59.826
19.5,8,8.9993,279,77.292,41.55,-65.175
19.5,9,8.999,272,84.161,45.119,-71.044
19.5,10,9.5031,262,91.194,48.269,-77.372
19.5,11,9.5147,255,98.261,50.893,-84.054
19.5,12,10.001,246,105.21,52.977,-90.901
19.5,13,10.511,240,111.87,54.574,-97.659
19.5,14,10.498,231,118.26,55.837,-104.25
19.5,15,10.999,225,124.43,56.949,-110.63
19.5,16,10.994,216,130.44,58.016,-116.83
19.5,17,11.501,209,136.39,59.116,-122.91
19.5,18,11.497,201,142.32,60.29,-128.92
19.5,19,11.986,195,148.26,61.557,-134.87
19.5,20,11.99,187,154.25,62.973,-140.81
19.5,21,12.516,180,160.32,64.584,-146.74
19.5,22,12.491,173,166.57,66.447,-152.74
19.5,23,13.015,166,173.09,68.589,-158.92
19.5,24,12.99,159,179.92,71.009,-165.32
19.5,25,13.518,152,187.13,73.68,-172.02
19.5,26,13.488,145,194.75,76.588,-179.06
19.5,27,14.003,141,202.8,79.715,-186.47
19.5,28,14,132,211.31,83.083,-194.29
19.5,29,14.499,125,220.38,86.707,-202.6
19.5,30,14.482,118,230.03,90.579,-211.45
19.5,31,15.004,111,240.4,94.704,-220.96
19.5,32,14.999,106,251.53,99.047,-231.2
19.5,33,15.497,98,263.53,103.59,-242.32
19.5,34,15.995,92,276.59,108.22,-254.54
19.5,35,15.993,85,290.72,112.79,-267.95
19.5,36,16.503,78,305.98,117.06,-282.7
19.5,37,16.995,73,322.25,120.69,-298.79
19.5,38,16.999,67,339.4,123.42,-316.16
19.5,39,17.507,59,357.11,124.98,-334.52
19.5,40,17.48,53,375.38,125.29,-353.85
19.5,41,18.002,47,394.13,124.28,-374.03
19.5,42,18.512,41,413.51,121.71,-395.2
19.5,43,18.498,35,433.65,117.08,-417.54
19.5,44,19.016,29,454.49,109.54,-441.09
19.5,45,18.997,23,475.52,97.592,-465.4
19.5,46,19.498,21,495.33,79.789,-488.86
19.5,47,19.5,14,511.68,55.195,-508.69
19.5,48,19.499,6,525.51,24.647,-524.94
19.5,49,19.5,1,3601.6,4.6513,-3601.6
20.5,0,NaN,NaN,806.84,3.2949,806.83
20.5,1,7.9856,349,31.759,9.1565,-30.411
20.5,2,8.0064,339,37.153,16.277,-33.398
20.5,3,8.4981,328,43.433,22.306,-37.267
20.5,4,8.4995,318,49.795,27.487,-41.522
20.5,5,8.486,308,56.115,32.176,-45.975
20.5,6,9.0023,299,62.503,36.613,-50.657
20.5,7,8.9998,290,69.12,40.928,-55.7
20.5,8,9.5031,281,76.102,45.132,-61.275
20.5,9,9.4897,272,83.452,49.087,-67.489
20.5,10,10.001,264,91.069,52.577,-74.358
20.5,11,9.999,257,98.691,55.356,-81.704
20.5,12,10.5,250,106.02,57.317,-89.185
20.5,13,10.499,242,112.85,58.611,-96.431
20.5,14,10.999,232,119.18,59.516,-103.26
20.5,15,11.501,226,125.18,60.302,-109.69
20.5,16,11.495,217,130.99,61.136,-115.85
20.5,17,12,210,136.75,62.081,-121.84
20.5,18,11.993,202,142.51,63.136,-127.76
20.5,19,12.516,195,148.26,64.281,-133.6
20.5,20,12.489,188,154.01,65.576,-139.35
20.5,21,13.003,181,159.8,67.105,-145.03
20.5,22,12.995,174,165.76,68.978,-150.73
20.5,23,13.5,167,172,71.212,-156.56
20.5,24,13.49,160,178.63,73.785,-162.67
20.5,25,14.001,153,185.69,76.669,-169.12
20.5,26,13.986,146,193.18,79.779,-175.94
20.5,27,14.504,139,201.08,83.12,-183.1
20.5,28,14.48,134,209.46,86.751,-190.65
20.5,29,14.999,125,218.39,90.703,-198.66
20.5,30,15.5,119,227.96,94.966,-207.24
20.5,31,15.495,112,238.26,99.558,-216.46
20.5,32,16.015,105,249.38,104.51,-226.42
20.5,33,16.003,99,261.48,109.82,-237.31
20.5,34,16.499,92,274.77,115.42,-249.35
20.5,35,16.988,86,289.48,121.17,-262.9
20.5,36,16.992,79,305.61,126.73,-278.1
20.5,37,17.501,72,323.03,131.62,-295
20.5,38,18.016,66,341.47,135.45,-313.45
20.5,39,17.999,60,360.58,137.92,-333.16
20.5,40,18.506,53,380.08,139.05,-353.73
20.5,41,18.99,48,400.12,139.05,-375.18
20.5,42,18.99,41,421.09,137.88,-397.88
20.5,43,19.511,35,443.57,135.16,-422.47
20.5,44,19.481,29,468.06,129.9,-449.67
20.5,45,20.008,23,494.42,119.67,-479.72
20.5,46,20.016,18,521.12,101.53,-511.13
20.5,47,20.5,14,544.67,72.649,-539.8
20.5,48,20.499,6,563.52,33.135,-562.55
20.5,49,20.5,1,3606.9,6.4312,-3606.9
21.5,0,NaN,NaN,812.63,3.5372,812.62
21.5,1,8.4843,356,24.919,11.651,-22.027
21.5,2,8.4979,343,33.081,19.637,-26.622
21.5,3,8.4989,333,40.88,25.76,-31.743
21.5,4,8.4988,323,47.872,30.705,-36.729
21.5,5,9.0016,311,54.407,35.224,-41.466
21.5,6,8.9853,301,60.923,39.66,-46.246
21.5,7,9.5003,292,67.679,44.183,-51.267
21.5,8,9.5006,283,75.017,48.882,-56.904
21.5,9,9.9989,274,82.935,53.437,-63.425
21.5,10,10.016,266,91.351,57.548,-70.944
21.5,11,10.499,257,99.827,60.571,-79.352
21.5,12,10.997,249,107.63,62.25,-87.802
21.5,13,10.996,241,114.53,62.964,-95.672
21.5,14,11.501,233,120.61,63.24,-102.71
21.5,15,12.009,227,126.24,63.574,-109.07
21.5,16,11.997,218,131.72,64.129,-115.06
21.5,17,12.495,211,137.23,64.949,-120.88
21.5,18,12.486,203,142.84,65.912,-126.73
21.5,19,13.007,196,148.41,66.885,-132.48
21.5,20,12.989,189,153.87,67.975,-138.04
21.5,21,13.499,182,159.27,69.347,-143.38
21.5,22,13.498,175,164.83,71.188,-148.66
21.5,23,13.999,169,170.71,73.524,-154.07
21.5,24,13.999,162,177.1,76.322,-159.81
21.5,25,14.499,155,184.05,79.477,-166
21.5,26,14.999,148,191.45,82.789,-172.62
21.5,27,14.999,140,199.2,86.287,-179.54
21.5,28,15.515,133,207.36,90.122,-186.75
21.5,29,15.487,126,216.08,94.395,-194.37
21.5,30,16.009,119,225.52,99.064,-202.59
21.5,31,15.999,115,235.69,104.09,-211.46
21.5,32,16.499,106,246.65,109.56,-220.98
21.5,33,17.019,99,258.65,115.64,-231.36
21.5,34,17,93,272.06,122.37,-242.99
21.5,35,17.5,86,287.28,129.62,-256.38
21.5,36,18.009,80,304.43,136.87,-271.93
21.5,37,17.994,73,323.45,143.48,-289.88
21.5,38,18.497,66,343.56,148.56,-309.79
21.5,39,19,60,364.15,151.86,-330.98
21.5,40,19.498,56,384.84,153.69,-352.81
21.5,41,19.488,47,405.79,154.52,-375.21
21.5,42,20.005,41,427.66,154.9,-398.62
21.5,43,20.516,35,451.96,155.22,-424.47
21.5,44,20.495,29,480.27,154.21,-454.84
21.5,45,21.009,23,513.66,148.88,-491.61
21.5,46,20.978,17,550.97,133.5,-534.55
21.5,47,21.498,12,587.31,100.71,-578.61
21.5,48,21.498,6,616.11,47.482,-614.27
21.5,49,21.5,1,3614.3,9.0025,-3614.3
22.5,0,NaN,NaN,820.14,4.826,820.12
22.5,1,8.4984,369,20.612,16.643,-12.16
22.5,2,8.4928,348,31.627,24.67,-19.79
22.5,3,8.4984,337,40.372,30.311,-26.667
22.5,4,9.0015,324,47.156,34.155,-32.513
22.5,5,8.9868,314,53.249,38.265,-37.031
22.5,6,9.5039,304,59.726,42.566,-41.897
22.5,7,9.4898,294,66.094,47.133,-46.335
